,file,intermediate_steps,summary,proc_time
0,T_AST-20230510-1052-22_금소법_NOL카드_v1.pdf,"['- 상품명: NOL카드\n- 연회비: 국내전용 20,000원 (기본연회비 10,000원 + 제휴연회비 10,000원), 국내외겸용 20,000원 (기본연회비 10,000원 + 제휴연회비 10,000원)\n- 신용카드 이용한도: 심사 후 부여 예정\n- 단기카드 대출(현금 서비스) 이용한도: 심사 후 부여 예정\n- NOL 포인트 적립: 전월 이용금액 40만원 이상 시 월 1만, 80만원 이상 시 월 1만 2천 포인트\n- 할부 결제 이용 가능\n- 일부 결제 금액 이월 약정(리볼빙) 수수료: (4.5)% ~ (19.9)%\n- 연회비 반환: 중도 해지 시 남은 기간에 해당하는 연회비 일할 계산하여 10영업일 이내 반환\n- 연체 이자율: 연 3% ~ 최고 연 20%\n- 해지 신청 방법: 현대카드 홈페이지, 앱, 고객센터(1577-6000) 이용 가능']","- 상품명: NOL카드
- 연회비: 국내전용 20,000원, 국내외겸용 20,000원
- 신용카드 이용한도 및 단기카드 대출 이용한도: 심사 후 부여
- NOL 포인트 적립: 전월 이용금액 40만원 이상 시 월 1만, 80만원 이상 시 월 1만 2천 포인트
- 할부 결제 이용 가능
- 일부 결제 금액 이월 약정(리볼빙) 수수료: 4.5% ~ 19.9%
- 연회비 반환: 중도 해지 시 일할 계산하여 10영업일 이내 반환
- 연체 이자율: 연 3% ~ 최고 연 20%
- 해지 신청 방법: 현대카드 홈페이지, 앱, 고객센터(1577-6000) 이용 가능",90.45051407814026
1,T_AOB-20230511-1718-12_SC제일은행_금소법_MB_ZERO Online Seller_v1.pdf,"['- 상품명: SC 제일은행-현대카드 MY BUSINESS ZERO Online Seller\n- 연회비: 국내전용 30,000원 (기본연회비 10,000원 + 제휴연회비 20,000원), 국내외겸용 30,000원 (기본연회비 10,000원 + 제휴연회비 20,000원)\n- 신용카드 이용한도: 심사 후 부여 예정\n- 단기카드 대출(현금 서비스) 이용한도: 심사 후 부여 예정\n- 할인 서비스: 기본 할인 - 모든 가맹점 0.7% 할인, 사업성 경비 할인 - 온라인 쇼핑, 해외 가맹점, 전기 요금, 도시가스 요금, 4대 보험에서 이용 시 1.5% 할인\n- 무이자 할부: 모든 가맹점에서 5만원 이상 결제 시 2~3개월 무이자 할부 혜택 제공\n- 일부 결제 금액 이월 약정(리볼빙) 수수료: 4.5% ~ 19.9%\n- 연체 이자율: 연 3% ~ 최고 연 20%\n- 해지 시 연회비 반환: 일할 계산하여 반환 (해지일부터 10영업일 이내 반환)\n- 위법 계약 해지권, 개인 신용 평가 대응권, 단기 카드 대출(현금 서비스) 금리 인하 요구권 등의 권리가 회원에게 부여됨\n- 민원 및 분쟁 처리: 현대카드 홈페이지, 앱, 고객센터(1577-6000)를 통해 문의 가능\n- 신용카드 해지 신청: 현대카드 홈페이지, 앱, 고객센터(1577-6000)를 통해 신청 가능']","- 상품명: SC 제일은행-현대카드 MY BUSINESS ZERO Online Seller
- 연회비: 국내전용 30,000원, 국내외겸용 30,000원
- 신용카드 이용한도 및 단기카드 대출: 심사 후 부여
- 기본 할인: 모든 가맹점 0.7%, 사업성 경비 할인 1.5%
- 무이자 할부: 5만원 이상 결제 시 2~3개월 무이자 혜택
- 일부 결제 금액 이월 약정 수수료: 4.5% ~ 19.9%
- 연체 이자율: 연 3% ~ 최고 연 20%
- 해지 시 연회비 반환: 일할 계산하여 반환 (10영업일 이내)
- 회원 권리: 위법 계약 해지권, 개인 신용 평가 대응권, 단기 카드 대출 금리 인하 요구권 등
- 민원 및 분쟁 처리: 현대카드 홈페이지, 앱, 고객센터(1577-6000)
- 신용카드 해지 신청: 현대카드 홈페이지, 앱, 고객센터(1577-6000)",120.09095072746277
2,T_AQ6-20230517-1821-49_금소법_인플카 현대카드_체크_V1.pdf,"['- 상품명: 인플카 현대카드\n- 연회비: 국내전용 5,000원 (기본연회비 5,000원 + 제휴연회비 0원)\n- 주요 혜택: 생활 필수 영역 이용금액의 1% M포인트 적립\n- 이용한도: 신용한도 이내\n- 결제 방식: 선구매 후 결제, 할부 결제 가능\n- 일부 결제금액 이월약정 (리볼빙) 수수료율: (4.5)% ~ (19.9)%\n- 해외 서비스 수수료: (0.18)%\n- 국제 브랜드 수수료: (1)% ~ (1.4)%\n- 자동화기기 (ATM) 이용 수수료: (800)원 ~ (1,300)원\n- 연회비 반환: 중도 해지 시 일할 계산하여 반환\n- 연체 이자율: 연 3% ~ 최고 연 20%\n- 신용카드 해지 신청: 홈페이지, 앱, 고객센터를 통해 가능']","- 상품명: 인플카 현대카드
- 연회비: 국내전용 5,000원 (기본연회비 5,000원 + 제휴연회비 0원)
- 주요 혜택: 생활 필수 영역 이용금액의 1% M포인트 적립
- 이용한도: 신용한도 이내
- 결제 방식: 선구매 후 결제, 할부 결제 가능
- 일부 결제금액 이월약정 (리볼빙) 수수료율: (4.5)% ~ (19.9)%
- 해외 서비스 수수료: (0.18)%
- 국제 브랜드 수수료: (1)% ~ (1.4)%
- 자동화기기 (ATM) 이용 수수료: (800)원 ~ (1,300)원
- 연회비 반환: 중도 해지 시 일할 계산하여 반환
- 연체 이자율: 연 3% ~ 최고 연 20%
- 신용카드 해지 신청: 홈페이지, 앱, 고객센터를 통해 가능",99.20050859451294
3,T_A3W-20230512-1500-23_금소법_롯데면세점 제작 lotte duty free_v1.pdf,"['- 상품명: LOTTE DUTY FREE 현대카드\n- 연회비: 국내전용 20,000원 (기본연회비 10,000원 + 제휴연회비 10,000원), 국내외겸용 20,000원 (기본연회비 10,000원 + 제휴연회비 10,000원)\n- 신용카드 이용한도: 심사 후 부여 예정\n- 단기카드 대출(현금 서비스) 이용한도: 심사 후 부여 예정\n- LDF PAY 기본 적립: 국내 롯데면세점 5%, 국내 항공사/여행사/특급 호텔, 해외 가맹점 3%, 일반 가맹점 1%\n- LDF PAY 추가 적립: 장기 할부 이용 시, 12개월 할부 이용 최소 금액 50만원, 할부 이자율 5.8%\n- 금리(수수료율): 일시불 결제 - 없음, 할부 결제 - (4.2)% ~ (19.5)%, 단기 카드 대출(현금 서비스) - (5.5)% ~ (19.9)%, 일부 결제 금액 이월 약정(리볼빙) - (4.5)% ~ (19.9)%\n- 연체 이자율: 연 3% ~ 최고 연 20%\n- 해지 시 연회비 반환: 일할 계산하여 반환, 반환 기한은 해지 날로부터 10 영업일 이내 (불가피한 경우 3개월 이내)']","- 상품명: 롯데면세점 현대카드
- 연회비: 국내전용 20,000원, 국내외겸용 20,000원
- 신용카드 이용한도 및 단기카드 대출 이용한도: 심사 후 부여
- LDF PAY 기본 적립: 국내 롯데면세점 5%, 국내 항공사/여행사/특급 호텔, 해외 가맹점 3%, 일반 가맹점 1%
- LDF PAY 추가 적립: 장기 할부 이용 시, 12개월 할부 이용 최소 금액 50만원, 할부 이자율 5.8%
- 금리(수수료율): 일시불 결제 - 없음, 할부 결제 - 4.2% ~ 19.5%, 단기 카드 대출 - 5.5% ~ 19.9%, 일부 결제 금액 이월 약정 - 4.5% ~ 19.9%
- 연체 이자율: 연 3% ~ 최고 연 20%
- 해지 시 연회비 반환: 일할 계산하여 반환, 반환 기한은 해지 날로부터 10 영업일 이내 (불가피한 경우 3개월 이내)",86.33633375167847
4,T_AOB-20230511-1718-12_SC제일은행_금소법_ZERO(할인형)_V1.pdf,"['- 상품명: SC 제일은행-현대카드 ZERO Edition2(할인형)\n- 연회비: 국내전용 10,000원, 국내외겸용 10,000원\n- 신용카드 이용한도: 심사 후 부여 예정\n- 단기카드 대출(현금 서비스) 이용한도: 심사 후 부여 예정\n- 기본 할인: 기본 0.7% 청구 할인, 생활 필수 영역 1.5% 청구 할인\n- 무이자 할부: 5만원 이상 결제 시 2~3개월 무이자 할부 혜택 제공\n- SC 제일은행 제휴 혜택: 75% 우대 환율 적용, 현금 IC 카드 기능\n- 연체 이자율: 연 3% ~ 최고 연 20%\n- 해지 시 연회비 반환: 일할 계산하여 반환, 반환 기한은 10 영업일 이내\n- 일부 결제 금액 이월 약정(리볼빙) 위험성: 수수료 발생, 신용도 하락 가능성\n\n요약:\n- 상품명: SC 제일은행-현대카드 ZERO Edition2(할인형)\n- 연회비: 국내전용 10,000원, 국내외겸용 10,000원\n- 신용카드 이용한도 및 단기카드 대출(현금 서비스) 이용한도: 심사 후 부여 예정\n- 기본 할인 및 생활 필수 영역 할인 제공\n- 무이자 할부 혜택 및 SC 제일은행 제휴 혜택 적용\n- 연체 이자율 범위: 연 3% ~ 최고 연 20%\n- 해지 시 연회비 반환 가능, 반환 기한은 10 영업일 이내\n- 일부 결제 금액 이월 약정(리볼빙) 시 수수료 발생 및 신용도 하락 가능성 있음']","- 상품명: SC 제일은행-현대카드 ZERO Edition2(할인형)
- 연회비: 국내전용 10,000원, 국내외겸용 10,000원
- 신용카드 이용한도 및 단기카드 대출(현금 서비스) 이용한도: 심사 후 부여 예정
- 기본 할인 및 생활 필수 영역 할인 제공
- 무이자 할부 혜택 및 SC 제일은행 제휴 혜택 적용
- 연체 이자율 범위: 연 3% ~ 최고 연 20%
- 해지 시 연회비 반환 가능, 반환 기한은 10 영업일 이내
- 일부 결제 금액 이월 약정(리볼빙) 시 수수료 발생 및 신용도 하락 가능성 있음",90.49091124534607
5,T_A3W-20230512-1500-23_금소법_롯데면세점 제작 lotte duty free-mium_v1.pdf,"['- 카드 이름: LOTTE DUTY FREE-MIUM 현대카드\n- 연회비: 국내전용 200,000원 (기본연회비 50,000원 + 제휴연회비 150,000원), 국내외겸용 200,000원 (기본연회비 50,000원 + 제휴연회비 150,000원)\n- 신용카드 이용한도: 심사 후 부여 예정\n- 단기카드 대출(현금 서비스) 이용한도: 심사 후 부여 예정\n- LDF PAY 기본 적립: 국내 롯데면세점 5% (전월 이용금액 30만원 이상 ~ 200만원 미만), 10% (전월 이용금액 200만원 이상)\n- LDF PAY 추가 적립: 장기 할부 이용 시 매달 LDF PAY 5천원 적립 (전월 이용금액 50만원 이상)\n- 쇼핑 할인 서비스: 롯데면세점, 롯데백화점, 롯데마트에서 5만원 이상 이용 시 각 5만원 청구 할인\n- 일시불 결제 금리: 없음\n- 할부 결제 금리: 4.2% ~ 19.5%\n- 단기 카드 대출 (현금 서비스) 금리: 5.5% ~ 19.9%\n- 일부 결제 금액 이월 약정 (리볼빙) 금리: 4.5% ~ 19.9%']","- 카드 이름: 롯데면세점-MIUM 현대카드
- 연회비: 국내전용 200,000원 (기본연회비 50,000원 + 제휴연회비 150,000원), 국내외겸용 200,000원 (기본연회비 50,000원 + 제휴연회비 150,000원)
- 신용카드 이용한도 및 단기카드 대출(현금 서비스) 이용한도: 심사 후 부여 예정
- LDF PAY 기본 적립: 국내 롯데면세점 5% (전월 이용금액 30만원 이상 ~ 200만원 미만), 10% (전월 이용금액 200만원 이상)
- LDF PAY 추가 적립: 장기 할부 이용 시 매달 LDF PAY 5천원 적립 (전월 이용금액 50만원 이상)
- 쇼핑 할인 서비스: 롯데면세점, 롯데백화점, 롯데마트에서 5만원 이상 이용 시 각 5만원 청구 할인
- 일시불 결제 금리: 없음
- 할부 결제 금리: 4.2% ~ 19.5%
- 단기 카드 대출 (현금 서비스) 금리: 5.5% ~ 19.9%
- 일부 결제 금액 이월 약정 (리볼빙) 금리: 4.5% ~ 19.9%",95.39816522598267
6,T_AOB-20230511-1718-12_SC제일은행_금소법_X 체크(할인형)_V1.pdf,"['- 상품명: SC 제일은행-현대카드 X CHECK\n- 연회비: 국내전용 - 0원 (기본연회비 0원 + 제휴연회비 0원)\n- 주요 혜택: 기본 적립 - 당월 100만 원 미만 이용시 0.3% X 캐시백 적립, 당월 100만 원 이상 이용시 0.6% X 캐시백 적립\n- 금리(수수료율): 일시불결제 - 없음, 할부결제 - (4.2)% ~ (19.5)%, 단기카드대출(현금서비스) - (5.5)% ~ (19.9)%, 일부결제금액이월약정(리볼빙) - (4.5)% ~ (19.9)%\n- 해지 시 연회비 반환: 일할 계산하여 반환 (해지일부터 10영업일 이내 반환, 불가피한 경우 3개월 이내 반환)\n- 연체 이자율 및 불이익: 연체 이자율 - [회원별, 이용상품별 약정금리 + 연체가산금리], 연체 시 불이익 - 신용도 하락, 연체 이자 및 지연 배상금 발생, 카드 이용 정지, 카드 이용 한도 감액, 카드 이용 계약 해지 등\n- 일부 결제 금액 이월 약정(리볼빙) 위험성: 수수료 발생, 신용도 하락 가능성\n- 분쟁 및 민원 처리: 현대카드 홈페이지(www.hyundaicard.com) 또는 고객센터(1577-6000)로 문의 가능, 분쟁 발생 시 금융감독원(국번 없이 1332) 등에 도움 요청 가능']","- 상품명: SC 제일은행-현대카드 X CHECK
- 연회비: 국내전용 - 0원 (기본연회비 0원 + 제휴연회비 0원)
- 주요 혜택: 기본 적립 - 당월 100만 원 미만 이용시 0.3% X 캐시백 적립, 당월 100만 원 이상 이용시 0.6% X 캐시백 적립
- 금리(수수료율): 일시불결제 - 없음, 할부결제 - (4.2)% ~ (19.5)%, 단기카드대출(현금서비스) - (5.5)% ~ (19.9)%, 일부결제금액이월약정(리볼빙) - (4.5)% ~ (19.9)%
- 해지 시 연회비 반환: 일할 계산하여 반환 (해지일부터 10영업일 이내 반환, 불가피한 경우 3개월 이내 반환)
- 연체 이자율 및 불이익: 연체 이자율 - [회원별, 이용상품별 약정금리 + 연체가산금리], 연체 시 불이익 - 신용도 하락, 연체 이자 및 지연 배상금 발생, 카드 이용 정지, 카드 이용 한도 감액, 카드 이용 계약 해지 등
- 일부 결제 금액 이월 약정(리볼빙) 위험성: 수수료 발생, 신용도 하락 가능성
- 분쟁 및 민원 처리: 현대카드 홈페이지(www.hyundaicard.com) 또는 고객센터(1577-6000)로 문의 가능, 분쟁 발생 시 금융감독원(국번 없이 1332) 등에 도움 요청 가능",113.0261619091034
7,T_AOB-20230511-1718-12_SC제일은행_금소법_MB_ZERO RS_v1.pdf,"['- 상품명: SC 제일은행-현대카드 MY BUSINESS ZERO Retail & Service\n- 연회비: 국내전용 30,000원 (기본연회비 10,000원 + 제휴연회비 20,000원), 국내외겸용 30,000원 (기본연회비 10,000원 + 제휴연회비 20,000원)\n- 신용카드 이용한도: 심사 후 부여 예정\n- 단기카드 대출(현금 서비스) 이용한도: 심사 후 부여 예정\n- 할인 서비스: 기본 할인 - 모든 가맹점 0.7% 할인, 사업성 경비 할인 - 통신요금 정기결제, 손해보험, 전기요금, 도시가스 요금, 4대 보험에서 이용 시 1.5% 할인\n- 무이자 할부: 모든 가맹점에서 5만원 이상 결제 시 2~3개월 무이자 할부 혜택 제공\n- 일부 결제 금액 이월 약정(리볼빙) 수수료: 4.5% ~ 19.9%\n- 연체 이자율: 연 3% ~ 최고 연 20%\n- 해지 시 연회비 반환: 일할 계산하여 반환 (해지일로부터 10영업일 이내)\n- 위법 계약 해지권, 개인 신용 평가 대응권, 단기 카드 대출(현금 서비스) 금리 인하 요구권 등의 권리가 회원에게 부여됨\n- 민원 및 분쟁 처리: 현대카드 홈페이지(www.hyundaicard.com) 또는 고객센터(1577-6000)로 문의 가능']","- 상품명: SC 제일은행-현대카드 MY BUSINESS ZERO Retail & Service
- 연회비: 국내전용 30,000원, 국내외겸용 30,000원
- 신용카드 이용한도 및 단기카드 대출 이용한도: 심사 후 부여
- 기본 할인: 모든 가맹점 0.7% 할인
- 사업성 경비 할인: 통신요금, 손해보험, 전기요금, 도시가스 요금, 4대 보험 이용 시 1.5% 할인
- 무이자 할부: 5만원 이상 결제 시 2~3개월 무이자 할부 혜택
- 일부 결제 금액 이월 약정 수수료: 4.5% ~ 19.9%
- 연체 이자율: 연 3% ~ 최고 연 20%
- 해지 시 연회비 반환: 일할 계산하여 반환 (해지일로부터 10영업일 이내)
- 회원 권리: 위법 계약 해지권, 개인 신용 평가 대응권, 단기 카드 대출 금리 인하 요구권 등
- 민원 및 분쟁 처리: 현대카드 홈페이지 또는 고객센터로 문의 가능",90.3569061756134
8,T_AQX-20230519-1340-93_금소법_Hyundai Mobility카드(상용차).pdf,"['- 카드 이름: Hyundai Mobility 카드\n- 연회비: 국내전용 30,000원 (기본연회비 10,000원 + 제휴연회비 20,000원), 국내외겸용 30,000원 (기본연회비 10,000원 + 제휴연회비 20,000원)\n- 신용카드 이용한도: 심사 후 부여 예정\n- 단기카드 대출 (현금 서비스) 이용한도: 심사 후 부여 예정\n- 주요 혜택: 블루멤버스 포인트 적립, 주유 할인, 유가 보조금 환급 서비스\n- 금리 범위: 일시불 결제 (없음), 할부 결제 (4.2% ~ 19.5%), 단기카드 대출 (현금 서비스) (5.5% ~ 19.9%), 일부 결제 금액 이월 약정 (리볼빙) (4.5% ~ 19.9%)\n- 해지 시 연회비 반환: 일할 계산하여 반환 (해지 날부터 10 영업일 이내 반환)\n- 연체 이자율: 회원별, 이용 상품별 약정 금리 + 연체 가산 금리 (최고 연 20%)\n- 민원 및 분쟁 처리: 현대카드 홈페이지, 앱, 고객 센터 (1577-6000) 이용 가능\n- 신용카드 해지 신청: 현대카드 홈페이지, 앱, 고객 센터 (1577-6000) 이용 가능']","- 카드 이름: 현대 모빌리티 카드
- 연회비: 국내전용 30,000원 (기본연회비 10,000원 + 제휴연회비 20,000원), 국내외겸용 30,000원 (기본연회비 10,000원 + 제휴연회비 20,000원)
- 신용카드 이용한도 및 단기카드 대출 이용한도: 심사 후 부여 예정
- 주요 혜택: 블루멤버스 포인트 적립, 주유 할인, 유가 보조금 환급 서비스
- 금리 범위: 일시불 결제 (없음), 할부 결제 (4.2% ~ 19.5%), 단기카드 대출 (5.5% ~ 19.9%), 일부 결제 금액 이월 약정 (4.5% ~ 19.9%)
- 해지 시 연회비 반환: 일할 계산하여 반환 (해지 날부터 10 영업일 이내 반환)
- 연체 이자율: 회원별, 이용 상품별 약정 금리 + 연체 가산 금리 (최고 연 20%)
- 민원 및 분쟁 처리, 신용카드 해지 신청: 현대카드 홈페이지, 앱, 고객 센터 (1577-6000) 이용 가능",94.31095433235168
9,T_AOB-20230511-1718-12_SC제일은행_금소법_대한항공카드_030_v1.pdf,"['- 상품명: SC 제일은행-대한항공카드030\n- 연회비: 국내전용 30,000원 (기본연회비 10,000원 + 제휴연회비 20,000원), 국내외겸용 30,000원 (기본연회비 10,000원 + 제휴연회비 20,000원)\n- 신용카드 이용한도: 심사 후 부여 예정, 단기카드 대출(현금 서비스) 이용한도: 심사 후 부여 예정\n- 대한항공 마일리지 적립: 웰컴 보너스 3천 마일리지, 기본 적립 1천원당 1마일리지, 추가 적립 1천원당 1마일리지 (해외 가맹점/국내 면세점, 대한항공 직판 항공권/대한항공 기내 면세점)\n- 할부 결제 이용 가능, 체크카드 및 직불카드와 이용한도 및 할부 결제 등 차이 있음\n- 카드 뒷면 서명 필요, 이용 중 카드 해지 시 연회비 반환 제공\n- 일부 결제 금액 이월 약정(리볼빙) 이용 시 주의 필요, 연체 시 발생하는 불이익 주의\n- 신용카드 이용 대금 연체 시 연체 이자율 적용 및 금융 거래 제약 가능\n- 현대카드 고객 센터(1577-6000) 및 홈페이지, 앱을 통해 문의 가능\n- 금융 사기 피해 주의 (보이스 피싱 전화 및 문자 메시지 등)']","- 상품명: SC 제일은행-대한항공카드030
- 연회비: 국내전용 30,000원, 국내외겸용 30,000원
- 신용카드 이용한도 및 단기카드 대출 이용한도: 심사 후 부여 예정
- 대한항공 마일리지 적립: 웰컴 보너스 3,000 마일리지, 기본 적립 1천원당 1마일리지, 추가 적립 1천원당 1마일리지 (해외 가맹점/국내 면세점, 대한항공 직판 항공권/대한항공 기내 면세점)
- 할부 결제 이용 가능, 체크카드 및 직불카드와 이용한도 및 할부 결제 등 차이 있음
- 카드 뒷면 서명 필요, 이용 중 카드 해지 시 연회비 반환 제공
- 일부 결제 금액 이월 약정(리볼빙) 이용 시 주의 필요, 연체 시 발생하는 불이익 주의
- 신용카드 이용 대금 연체 시 연체 이자율 적용 및 금융 거래 제약 가능
- 현대카드 고객 센터(1577-6000) 및 홈페이지, 앱을 통해 문의 가능
- 금융 사기 피해 주의 (보이스 피싱 전화 및 문자 메시지 등)",110.37935471534729
